candidate_cap,tests,qualified_snapshots,qualification_rate,months_total,months_with_pairs,months_without_pairs,coverage_fraction,median_pairs_all_months,mean_pairs_all_months,maximum_pairs_month,unique_qualified_pairs,pairs_qualified_2plus_months,pairs_qualified_3plus_months,median_half_life,median_fdr_pvalue
10,31457,168,0.0053406237085545346,306,76,230,0.24836601307189543,0.0,0.5490196078431373,14,85,36,18,4.546887286540554,0.05203779802707713
20,60202,298,0.004950001661074383,306,105,201,0.3431372549019608,0.0,0.9738562091503268,14,136,63,32,4.23389484153041,0.053485007261684384
30,86895,343,0.003947292709592036,306,97,209,0.31699346405228757,0.0,1.1209150326797386,20,162,68,40,4.1495671402268215,0.058222752697308665
50,135131,376,0.002782485144045408,306,100,206,0.32679738562091504,0.0,1.2287581699346406,44,193,83,44,4.191464060801085,0.060579394208531284
