metric,value
Gross trading P&L,0.05487032427709723
Execution costs,-0.06431423394241059
Short-borrow costs,-0.020632291724130815
Net P&L,-0.030076201389455454
Net total return,-0.03007620138945266
Annualized return,-0.001206033597870415
Sharpe ratio,-0.07421633732265855
Maximum drawdown,-0.06502491213707973
Trades,165.0
Win rate,0.45454545454545453
Profit factor,0.902038682643706
Days invested,0.1572593289432424
