exit_reason,trades,gross_pnl,execution_cost,borrow_cost,net_pnl,win_rate,median_net_return,median_holding_sessions
mean_reversion,44,0.2330826718191551,0.0168953566845214,0.004538375354196598,0.2116489397804339,1.0,0.0216643576803423,8.0
maximum_holding_period,20,0.010536267741986037,0.0080405046742343,0.0049856192911454,-0.0024898562233952,0.35,-0.00287159158362495,20.0
qualification_expiry,58,-0.021465484934315684,0.022758404210012798,0.008469076751887617,-0.05269296589622034,0.39655172413793105,-0.0015926812528020001,12.0
stop_loss,43,-0.16728313034972822,0.0166199683736421,0.0026392203269011982,-0.1865423190502738,0.023255813953488372,-0.0192398660142958,4.0
